Hospital Name,Address,Contact,Blood Units Available,Blood Types Available
Dr. Vitthalrao Vikhe Patil Pravara Rural Hospital,Hospital,·,,
Government Rural Hospital,Government hospital,·,,
Rural Hospital Quarters,Hospital,·,,
Shri Sai Maternity and General Hospital,Hospital,·,,
Madhupushp Hospital.,Hospital,·,"{""O+"":45}","O+"
Sanjivani HospitalShriampur,Hospital,·,,
Dr. Maid Multispecialty Hospital | Best Multispecialty Hospital In Rahata | Accident Hospital,Hospital,·,,
Mhaske Hospital,Hospital,·,,
Medicover Hospitals - Best Hospital in Chh. Sambhaji Nagar,Hospital,·,,
"Elitecare Hospital | Best Multi-speciality Hospital in Chhatrapati Sambhaji Nagar, Aurangabad, Maharashtra",Hospital,·,,
MIT Hospital,Hospital,·,,
CARE United CIIGMA Hospitals,General hospital,·,,
JJ Plus Hospital & Neuron International - Cardiologist/Nephrologist/Neurologist/Best Children Hospital in Central Maharashtra,General hospital,·,,
Mahaveer Hospital - Best Hospital in Chh. Sambhaji Nagar,Hospital,·,,
ORIION CitiCare Super Specialty Hospital Aurangabad,Hospital,·,,
M.G.M. Hospital,General hospital,·,,
Sanjeevani Multispeciality Hospital,Hospital,·,,
Jalna Hospital,Hospital,·,,
KALAWATI SUPER-SPECIALITY HOSPITAL,Hospital,·,,
Jalna Critical Care - Best Cardiac Hospital In Jalna | Best Neurologist In Jalna | Best Diabetic Hospital In Jalna,Hospital,·,,
Shatayu MultiSpeciality Hospital Jalna,Hospital,·,,
Shree Samarth Hospital & Maternity Home | Best Multispecilist Hospital in Jalna,Hospital,·,,
Sushrusha Hospital jalna,Hospital,·,,
Ojas multispeciality hospital - Best ICU Hospital In Jalna | Best Piles Hospital In Jalna | Best surgery Hospital,Hospital,·,,
"ASG Eye Hospital - Shivaji Nagar, Pune",Eye Care Clinic,·,,
Jupiter Hospital,Hospital,·,,
Jehangir Hospital,General hospital,·,,
"Sahyadri Super Speciality Hospital, Deccan Gymkhana, Pune",General hospital,·,,
"Manipal Hospital, Kharadi - Pune",General hospital,·,,
Sahyadri Super Speciality Hospital Hadapsar,Hospital,·,,
VishwaRaj Hospital Pune,Hospital,·,,
Deccan Hardikar Hospital,Hospital,·,,
"Sub District Hospital, Malegaon",Hospital,·,,
Chaitanya Accident & Trauma Care Center (Dr. Vinit Deore & Dr. Sameer Patil),Hospital,·,,
New Faran Hospital,Hospital,·,,
Dwarkamani Hospital,General hospital,·,,
Susmit Nursing Home and Infertility Centre,Hospital,·,,
Navjeevan Hospital,Hospital,·,,
Mauli Hospital,Hospital,·,,
Lotus Hospital,Hospital,·,,
Orange City Hospital & Research Institute,General hospital,·,,
"Wockhardt Super Specialty Hospital, Nagpur",Private hospital,·,,
"Max Super Speciality Hospital, Nagpur",Hospital,·,,
Swasthyam Superspeciality Hospital,General hospital,·,,
KRIMS Hospitals,Hospital,·,,
Midas Multispeciality Hospital Pvt. Ltd.,General hospital,·,,
KIMS-Kingsway Hospitals,Hospital,·,,
Meditrina Institute of Medical Sciences - Best Multispeciality hospital in Nagpur | Neurology Hospital,General hospital,·,,
Orchid Multi Superspeciality Hospital,General hospital,·,,
Vanita Multispeciality Hospital,Hospital,·,,
✅𝗞𝗲𝘄𝗮𝗹 𝗛𝗼𝘀𝗽𝗶𝘁𝗮𝗹 | Dr. Gajanan Patil | Best gynaecology / Laparoscopy / Infertility / IVF hospital in Jalgaon,Hospital,·,,
Siddhivinayak Hospital- Gynaecology/Pediatric Hospital,Hospital,·,,
"RL HOSPITAL | Orthopedic, Neurosurgeon, Pediatrician, Surgeon, Critical Care | Best Hospital Jalgaon",Hospital,·,,
𝗞𝗵𝘂𝘀𝗵𝗶 𝗛𝗼𝘀𝗽𝗶𝘁𝗮𝗹 - Best Cancer Hospital/General Surgeon/Best Laparoscopic Surgeon in Jalgaon,Hospital,·,,
Sanjeevan Heart Hospital and Multispecialty Centre,Hospital,·,,
SADHANA HOSPITAL,Hospital,·"{""B-"":47,""AB+"":13,""O-"":51,""B+"":16,""AB-"":44}","B-, AB+, O-, B+, AB-"
